P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( knicked | Deceptive Negative) = 3.89749585891e-05
P( primarily | Truthful Negative) = 1.93150870145e-05
P( primarily | Truthful Positive) = 2.63289539507e-05
P( sightseeing | Deceptive Negative) = 5.84624378837e-05
P( sightseeing | Deceptive Positive) = 8.62415914448e-05
P( sightseeing | Truthful Negative) = 7.72603480579e-05
P( sightseeing | Truthful Positive) = 0.000131644769753
P( spending | Deceptive Negative) = 0.00021436227224
P( spending | Deceptive Positive) = 2.87471971483e-05
P( spending | Truthful Negative) = 9.65754350723e-05
P( spending | Truthful Positive) = 7.8986861852e-05
P( specifically | Deceptive Negative) = 0.000116924875767
P( specifically | Deceptive Positive) = 2.87471971483e-05
P( specifically | Truthful Negative) = 0.000115890522087
P( specifically | Truthful Positive) = 2.63289539507e-05
P( custom | Deceptive Negative) = 3.89749585891e-05
P( custom | Deceptive Positive) = 2.87471971483e-05
P( custom | Truthful Negative) = 3.86301740289e-05
P( custom | Truthful Positive) = 2.63289539507e-05
P( thirdly | Deceptive Negative) = 3.89749585891e-05
P( thirdly | Deceptive Positive) = 2.87471971483e-05
P( thirdly | Truthful Negative) = 3.86301740289e-05
P( thirdly | Truthful Positive) = 2.63289539507e-05
P( suit | Deceptive Negative) = 1.94874792946e-05
P( suit | Deceptive Positive) = 5.74943942966e-05
P( suit | Truthful Negative) = 5.79452610434e-05
P( suit | Truthful Positive) = 2.63289539507e-05
P( strives | Deceptive Negative) = 1.94874792946e-05
P( strives | Deceptive Positive) = 5.74943942966e-05
P( strives | Truthful Negative) = 1.93150870145e-05
P( strives | Truthful Positive) = 2.63289539507e-05
P( elsewhere | Deceptive Negative) = 0.000253337230829
P( elsewhere | Deceptive Positive) = 5.74943942966e-05
P( elsewhere | Truthful Negative) = 0.000193150870145
P( elsewhere | Truthful Positive) = 7.8986861852e-05
P( inches | Deceptive Negative) = 1.94874792946e-05
P( inches | Deceptive Positive) = 2.87471971483e-05
P( inches | Truthful Negative) = 7.72603480579e-05
P( inches | Truthful Positive) = 2.63289539507e-05
P( graciously | Deceptive Negative) = 1.94874792946e-05
P( graciously | Deceptive Positive) = 2.87471971483e-05
P( graciously | Truthful Negative) = 3.86301740289e-05
P( graciously | Truthful Positive) = 2.63289539507e-05
P( poster | Deceptive Negative) = 1.94874792946e-05
P( poster | Deceptive Positive) = 2.87471971483e-05
P( poster | Truthful Negative) = 3.86301740289e-05
P( poster | Truthful Positive) = 2.63289539507e-05
P( atop | Deceptive Negative) = 1.94874792946e-05
P( atop | Deceptive Positive) = 8.62415914448e-05
P( atop | Truthful Negative) = 1.93150870145e-05
P( atop | Truthful Positive) = 2.63289539507e-05
P( barman | Deceptive Negative) = 1.94874792946e-05
P( barman | Deceptive Positive) = 2.87471971483e-05
P( barman | Truthful Negative) = 3.86301740289e-05
P( barman | Truthful Positive) = 2.63289539507e-05
P( link | Deceptive Negative) = 1.94874792946e-05
P( link | Deceptive Positive) = 2.87471971483e-05
P( link | Truthful Negative) = 5.79452610434e-05
P( link | Truthful Positive) = 2.63289539507e-05
P( line | Deceptive Negative) = 0.000253337230829
P( line | Deceptive Positive) = 2.87471971483e-05
P( line | Truthful Negative) = 0.000579452610434
P( line | Truthful Positive) = 0.000236960585556
P( posted | Deceptive Negative) = 7.79499171782e-05
P( posted | Deceptive Positive) = 2.87471971483e-05
P( posted | Truthful Negative) = 5.79452610434e-05
P( posted | Truthful Positive) = 7.8986861852e-05
P( cig | Deceptive Negative) = 1.94874792946e-05
P( cig | Deceptive Positive) = 2.87471971483e-05
P( cig | Truthful Negative) = 3.86301740289e-05
P( cig | Truthful Positive) = 2.63289539507e-05
P( nieces | Deceptive Negative) = 1.94874792946e-05
P( nieces | Deceptive Positive) = 2.87471971483e-05
P( nieces | Truthful Negative) = 1.93150870145e-05
P( nieces | Truthful Positive) = 5.26579079013e-05
P( magnificant | Deceptive Negative) = 1.94874792946e-05
P( magnificant | Deceptive Positive) = 5.74943942966e-05
P( magnificant | Truthful Negative) = 1.93150870145e-05
P( magnificant | Truthful Positive) = 0.000105315815803
P( up | Deceptive Negative) = 0.00290363441489
P( up | Deceptive Positive) = 0.00120738228023
P( up | Truthful Negative) = 0.00268479709501
P( up | Truthful Positive) = 0.00129011874358
P( us | Deceptive Negative) = 0.00224106011887
P( us | Deceptive Positive) = 0.00129362387167
P( us | Truthful Negative) = 0.002665482008
P( us | Truthful Positive) = 0.00226429003976
P( erica | Deceptive Negative) = 1.94874792946e-05
P( erica | Deceptive Positive) = 2.87471971483e-05
P( erica | Truthful Negative) = 9.65754350723e-05
P( erica | Truthful Positive) = 2.63289539507e-05
P( paired | Deceptive Negative) = 3.89749585891e-05
P( paired | Deceptive Positive) = 2.87471971483e-05
P( paired | Truthful Negative) = 1.93150870145e-05
P( paired | Truthful Positive) = 2.63289539507e-05
P( uk | Deceptive Negative) = 1.94874792946e-05
P( uk | Deceptive Positive) = 2.87471971483e-05
P( uk | Truthful Negative) = 3.86301740289e-05
P( uk | Truthful Positive) = 5.26579079013e-05
P( faded | Deceptive Negative) = 3.89749585891e-05
P( faded | Deceptive Positive) = 2.87471971483e-05
P( faded | Truthful Negative) = 3.86301740289e-05
P( faded | Truthful Positive) = 2.63289539507e-05
P( continuously | Deceptive Negative) = 3.89749585891e-05
P( continuously | Deceptive Positive) = 2.87471971483e-05
P( continuously | Truthful Negative) = 1.93150870145e-05
P( continuously | Truthful Positive) = 2.63289539507e-05
P( sofabed | Deceptive Negative) = 1.94874792946e-05
P( sofabed | Deceptive Positive) = 2.87471971483e-05
P( sofabed | Truthful Negative) = 3.86301740289e-05
P( sofabed | Truthful Positive) = 7.8986861852e-05
P( yelled | Deceptive Negative) = 3.89749585891e-05
P( yelled | Deceptive Positive) = 2.87471971483e-05
P( yelled | Truthful Negative) = 1.93150870145e-05
P( yelled | Truthful Positive) = 2.63289539507e-05
P( storing | Deceptive Negative) = 1.94874792946e-05
P( storing | Deceptive Positive) = 2.87471971483e-05
P( storing | Truthful Negative) = 1.93150870145e-05
P( storing | Truthful Positive) = 5.26579079013e-05
P( supervisor | Deceptive Negative) = 5.84624378837e-05
P( supervisor | Deceptive Positive) = 2.87471971483e-05
P( supervisor | Truthful Negative) = 3.86301740289e-05
P( supervisor | Truthful Positive) = 2.63289539507e-05
P( likewise | Deceptive Negative) = 3.89749585891e-05
P( likewise | Deceptive Positive) = 2.87471971483e-05
P( likewise | Truthful Negative) = 1.93150870145e-05
P( likewise | Truthful Positive) = 2.63289539507e-05
P( influence | Deceptive Negative) = 1.94874792946e-05
P( influence | Deceptive Positive) = 2.87471971483e-05
P( influence | Truthful Negative) = 3.86301740289e-05
P( influence | Truthful Positive) = 5.26579079013e-05
P( comming | Deceptive Negative) = 3.89749585891e-05
P( comming | Deceptive Positive) = 2.87471971483e-05
P( comming | Truthful Negative) = 1.93150870145e-05
P( comming | Truthful Positive) = 2.63289539507e-05
P( diverse | Deceptive Negative) = 1.94874792946e-05
P( diverse | Deceptive Positive) = 5.74943942966e-05
P( diverse | Truthful Negative) = 1.93150870145e-05
P( diverse | Truthful Positive) = 2.63289539507e-05
P( chat | Deceptive Negative) = 3.89749585891e-05
P( chat | Deceptive Positive) = 2.87471971483e-05
P( chat | Truthful Negative) = 1.93150870145e-05
P( chat | Truthful Positive) = 2.63289539507e-05
P( graceful | Deceptive Negative) = 1.94874792946e-05
P( graceful | Deceptive Positive) = 5.74943942966e-05
P( graceful | Truthful Negative) = 1.93150870145e-05
P( graceful | Truthful Positive) = 2.63289539507e-05
P( gusts | Deceptive Negative) = 1.94874792946e-05
P( gusts | Deceptive Positive) = 2.87471971483e-05
P( gusts | Truthful Negative) = 3.86301740289e-05
P( gusts | Truthful Positive) = 2.63289539507e-05
P( overcrowed | Deceptive Negative) = 1.94874792946e-05
P( overcrowed | Deceptive Positive) = 2.87471971483e-05
P( overcrowed | Truthful Negative) = 1.93150870145e-05
P( overcrowed | Truthful Positive) = 5.26579079013e-05
P( second-wind | Deceptive Negative) = 1.94874792946e-05
P( second-wind | Deceptive Positive) = 5.74943942966e-05
P( second-wind | Truthful Negative) = 1.93150870145e-05
P( second-wind | Truthful Positive) = 2.63289539507e-05
P( reimbursed | Deceptive Negative) = 3.89749585891e-05
P( reimbursed | Deceptive Positive) = 2.87471971483e-05
P( reimbursed | Truthful Negative) = 1.93150870145e-05
P( reimbursed | Truthful Positive) = 2.63289539507e-05
P( points | Deceptive Negative) = 1.94874792946e-05
P( points | Deceptive Positive) = 5.74943942966e-05
P( points | Truthful Negative) = 0.000154520696116
P( points | Truthful Positive) = 0.000131644769753
P( shula's | Deceptive Negative) = 3.89749585891e-05
P( shula's | Deceptive Positive) = 0.00017248318289
P( shula's | Truthful Negative) = 3.86301740289e-05
P( shula's | Truthful Positive) = 5.26579079013e-05
P( scraps | Deceptive Negative) = 3.89749585891e-05
P( scraps | Deceptive Positive) = 2.87471971483e-05
P( scraps | Truthful Negative) = 1.93150870145e-05
P( scraps | Truthful Positive) = 2.63289539507e-05
P( tarp | Deceptive Negative) = 1.94874792946e-05
P( tarp | Deceptive Positive) = 2.87471971483e-05
P( tarp | Truthful Negative) = 3.86301740289e-05
P( tarp | Truthful Positive) = 2.63289539507e-05
P( tart | Deceptive Negative) = 3.89749585891e-05
P( tart | Deceptive Positive) = 2.87471971483e-05
P( tart | Truthful Negative) = 1.93150870145e-05
P( tart | Truthful Positive) = 2.63289539507e-05
P( tedium | Deceptive Negative) = 3.89749585891e-05
P( tedium | Deceptive Positive) = 2.87471971483e-05
P( tedium | Truthful Negative) = 1.93150870145e-05
P( tedium | Truthful Positive) = 2.63289539507e-05
P( elements | Deceptive Negative) = 1.94874792946e-05
P( elements | Deceptive Positive) = 2.87471971483e-05
P( elements | Truthful Negative) = 1.93150870145e-05
P( elements | Truthful Positive) = 5.26579079013e-05
P( energetic | Deceptive Negative) = 3.89749585891e-05
P( energetic | Deceptive Positive) = 2.87471971483e-05
P( energetic | Truthful Negative) = 1.93150870145e-05
P( energetic | Truthful Positive) = 2.63289539507e-05
P( sided | Deceptive Negative) = 1.94874792946e-05
P( sided | Deceptive Positive) = 2.87471971483e-05
P( sided | Truthful Negative) = 3.86301740289e-05
P( sided | Truthful Positive) = 2.63289539507e-05
P( unrefreshed | Deceptive Negative) = 1.94874792946e-05
P( unrefreshed | Deceptive Positive) = 2.87471971483e-05
P( unrefreshed | Truthful Negative) = 3.86301740289e-05
P( unrefreshed | Truthful Positive) = 2.63289539507e-05
P( sides | Deceptive Negative) = 1.94874792946e-05
P( sides | Deceptive Positive) = 2.87471971483e-05
P( sides | Truthful Negative) = 7.72603480579e-05
P( sides | Truthful Positive) = 7.8986861852e-05
P( ago | Deceptive Negative) = 9.74373964728e-05
P( ago | Deceptive Positive) = 0.000114988788593
P( ago | Truthful Negative) = 0.000193150870145
P( ago | Truthful Positive) = 5.26579079013e-05
P( texted | Deceptive Negative) = 3.89749585891e-05
P( texted | Deceptive Positive) = 2.87471971483e-05
P( texted | Truthful Negative) = 1.93150870145e-05
P( texted | Truthful Positive) = 2.63289539507e-05
P( valuables | Deceptive Negative) = 1.94874792946e-05
P( valuables | Deceptive Positive) = 5.74943942966e-05
P( valuables | Truthful Negative) = 1.93150870145e-05
P( valuables | Truthful Positive) = 2.63289539507e-05
P( age | Deceptive Negative) = 5.84624378837e-05
P( age | Deceptive Positive) = 2.87471971483e-05
P( age | Truthful Negative) = 1.93150870145e-05
P( age | Truthful Positive) = 5.26579079013e-05
P( holes | Deceptive Negative) = 1.94874792946e-05
P( holes | Deceptive Positive) = 2.87471971483e-05
P( holes | Truthful Negative) = 3.86301740289e-05
P( holes | Truthful Positive) = 2.63289539507e-05
P( walked | Deceptive Negative) = 0.00042872454448
P( walked | Deceptive Positive) = 0.000287471971483
P( walked | Truthful Negative) = 7.72603480579e-05
P( walked | Truthful Positive) = 0.00039493430926
P( beverage | Deceptive Negative) = 3.89749585891e-05
P( beverage | Deceptive Positive) = 2.87471971483e-05
P( beverage | Truthful Negative) = 1.93150870145e-05
P( beverage | Truthful Positive) = 7.8986861852e-05
P( incomplete | Deceptive Negative) = 1.94874792946e-05
P( incomplete | Deceptive Positive) = 2.87471971483e-05
P( incomplete | Truthful Negative) = 1.93150870145e-05
P( incomplete | Truthful Positive) = 5.26579079013e-05
P( fresh | Deceptive Negative) = 0.000292312189418
P( fresh | Deceptive Positive) = 0.000114988788593
P( fresh | Truthful Negative) = 5.79452610434e-05
P( fresh | Truthful Positive) = 0.000342276401359
P( having | Deceptive Negative) = 0.000448212023775
P( having | Deceptive Positive) = 0.000258724774335
P( having | Truthful Negative) = 0.000444247001333
P( having | Truthful Positive) = 0.000421263263211
P( hampton | Deceptive Negative) = 3.89749585891e-05
P( hampton | Deceptive Positive) = 2.87471971483e-05
P( hampton | Truthful Negative) = 3.86301740289e-05
P( hampton | Truthful Positive) = 2.63289539507e-05
P( code | Deceptive Negative) = 5.84624378837e-05
P( code | Deceptive Positive) = 2.87471971483e-05
P( code | Truthful Negative) = 1.93150870145e-05
P( code | Truthful Positive) = 2.63289539507e-05
P( partial | Deceptive Negative) = 3.89749585891e-05
P( partial | Deceptive Positive) = 2.87471971483e-05
P( partial | Truthful Negative) = 3.86301740289e-05
P( partial | Truthful Positive) = 7.8986861852e-05
P( piddle | Deceptive Negative) = 3.89749585891e-05
P( piddle | Deceptive Positive) = 2.87471971483e-05
P( piddle | Truthful Negative) = 1.93150870145e-05
P( piddle | Truthful Positive) = 2.63289539507e-05
P( results | Deceptive Negative) = 1.94874792946e-05
P( results | Deceptive Positive) = 2.87471971483e-05
P( results | Truthful Negative) = 3.86301740289e-05
P( results | Truthful Positive) = 2.63289539507e-05
P( enjoyable | Deceptive Negative) = 7.79499171782e-05
P( enjoyable | Deceptive Positive) = 0.000229977577186
P( enjoyable | Truthful Negative) = 3.86301740289e-05
P( enjoyable | Truthful Positive) = 7.8986861852e-05
P( softer | Deceptive Negative) = 1.94874792946e-05
P( softer | Deceptive Positive) = 2.87471971483e-05
P( softer | Truthful Negative) = 3.86301740289e-05
P( softer | Truthful Positive) = 2.63289539507e-05
P( legal | Deceptive Negative) = 1.94874792946e-05
P( legal | Deceptive Positive) = 2.87471971483e-05
P( legal | Truthful Negative) = 3.86301740289e-05
P( legal | Truthful Positive) = 2.63289539507e-05
P( shrugged | Deceptive Negative) = 3.89749585891e-05
P( shrugged | Deceptive Positive) = 2.87471971483e-05
P( shrugged | Truthful Negative) = 5.79452610434e-05
P( shrugged | Truthful Positive) = 2.63289539507e-05
P( centers | Deceptive Negative) = 3.89749585891e-05
P( centers | Deceptive Positive) = 5.74943942966e-05
P( centers | Truthful Negative) = 1.93150870145e-05
P( centers | Truthful Positive) = 2.63289539507e-05
P( luxuries | Deceptive Negative) = 1.94874792946e-05
P( luxuries | Deceptive Positive) = 5.74943942966e-05
P( luxuries | Truthful Negative) = 1.93150870145e-05
P( luxuries | Truthful Positive) = 2.63289539507e-05
P( admited | Deceptive Negative) = 1.94874792946e-05
P( admited | Deceptive Positive) = 2.87471971483e-05
P( admited | Truthful Negative) = 3.86301740289e-05
P( admited | Truthful Positive) = 2.63289539507e-05
P( concerned | Deceptive Negative) = 7.79499171782e-05
P( concerned | Deceptive Positive) = 0.000114988788593
P( concerned | Truthful Negative) = 7.72603480579e-05
P( concerned | Truthful Positive) = 7.8986861852e-05
P( departing | Deceptive Negative) = 1.94874792946e-05
P( departing | Deceptive Positive) = 2.87471971483e-05
P( departing | Truthful Negative) = 5.79452610434e-05
P( departing | Truthful Positive) = 2.63289539507e-05
P( young | Deceptive Negative) = 7.79499171782e-05
P( young | Deceptive Positive) = 2.87471971483e-05
P( young | Truthful Negative) = 0.000154520696116
P( young | Truthful Positive) = 5.26579079013e-05
P( send | Deceptive Negative) = 0.000116924875767
P( send | Deceptive Positive) = 5.74943942966e-05
P( send | Truthful Negative) = 0.00017383578313
P( send | Truthful Positive) = 2.63289539507e-05
P( dislike | Deceptive Negative) = 3.89749585891e-05
P( dislike | Deceptive Positive) = 2.87471971483e-05
P( dislike | Truthful Negative) = 1.93150870145e-05
P( dislike | Truthful Positive) = 2.63289539507e-05
P( rememberable | Deceptive Negative) = 1.94874792946e-05
P( rememberable | Deceptive Positive) = 5.74943942966e-05
P( rememberable | Truthful Negative) = 1.93150870145e-05
P( rememberable | Truthful Positive) = 2.63289539507e-05
P( sent | Deceptive Negative) = 0.000194874792946
P( sent | Deceptive Positive) = 5.74943942966e-05
P( sent | Truthful Negative) = 0.000251096131188
P( sent | Truthful Positive) = 5.26579079013e-05
P( uploaded | Deceptive Negative) = 1.94874792946e-05
P( uploaded | Deceptive Positive) = 2.87471971483e-05
P( uploaded | Truthful Negative) = 3.86301740289e-05
P( uploaded | Truthful Positive) = 2.63289539507e-05
P( stocked | Deceptive Negative) = 5.84624378837e-05
P( stocked | Deceptive Positive) = 2.87471971483e-05
P( stocked | Truthful Negative) = 3.86301740289e-05
P( stocked | Truthful Positive) = 0.000131644769753
P( garden | Deceptive Negative) = 3.89749585891e-05
P( garden | Deceptive Positive) = 2.87471971483e-05
P( garden | Truthful Negative) = 1.93150870145e-05
P( garden | Truthful Positive) = 5.26579079013e-05
P( torture | Deceptive Negative) = 1.94874792946e-05
P( torture | Deceptive Positive) = 2.87471971483e-05
P( torture | Truthful Negative) = 3.86301740289e-05
P( torture | Truthful Positive) = 2.63289539507e-05
P( continues | Deceptive Negative) = 1.94874792946e-05
P( continues | Deceptive Positive) = 2.87471971483e-05
P( continues | Truthful Negative) = 3.86301740289e-05
P( continues | Truthful Positive) = 2.63289539507e-05
P( pleasent | Deceptive Negative) = 3.89749585891e-05
P( pleasent | Deceptive Positive) = 2.87471971483e-05
P( pleasent | Truthful Negative) = 1.93150870145e-05
P( pleasent | Truthful Positive) = 5.26579079013e-05
P( well-done | Deceptive Negative) = 3.89749585891e-05
P( well-done | Deceptive Positive) = 2.87471971483e-05
P( well-done | Truthful Negative) = 1.93150870145e-05
P( well-done | Truthful Positive) = 2.63289539507e-05
P( animals | Deceptive Negative) = 3.89749585891e-05
P( animals | Deceptive Positive) = 5.74943942966e-05
P( animals | Truthful Negative) = 1.93150870145e-05
P( animals | Truthful Positive) = 2.63289539507e-05
P( decorating | Deceptive Negative) = 1.94874792946e-05
P( decorating | Deceptive Positive) = 2.87471971483e-05
P( decorating | Truthful Negative) = 3.86301740289e-05
P( decorating | Truthful Positive) = 5.26579079013e-05
P( chechecked | Deceptive Negative) = 1.94874792946e-05
P( chechecked | Deceptive Positive) = 2.87471971483e-05
P( chechecked | Truthful Negative) = 1.93150870145e-05
P( chechecked | Truthful Positive) = 5.26579079013e-05
P( continued | Deceptive Negative) = 0.000116924875767
P( continued | Deceptive Positive) = 2.87471971483e-05
P( continued | Truthful Negative) = 0.000115890522087
P( continued | Truthful Positive) = 2.63289539507e-05
P( necessitating | Deceptive Negative) = 1.94874792946e-05
P( necessitating | Deceptive Positive) = 2.87471971483e-05
P( necessitating | Truthful Negative) = 3.86301740289e-05
P( necessitating | Truthful Positive) = 2.63289539507e-05
P( timely | Deceptive Negative) = 1.94874792946e-05
P( timely | Deceptive Positive) = 5.74943942966e-05
P( timely | Truthful Negative) = 1.93150870145e-05
P( timely | Truthful Positive) = 5.26579079013e-05
P( northwestern | Deceptive Negative) = 1.94874792946e-05
P( northwestern | Deceptive Positive) = 2.87471971483e-05
P( northwestern | Truthful Negative) = 5.79452610434e-05
P( northwestern | Truthful Positive) = 2.63289539507e-05
P( harbor | Deceptive Negative) = 1.94874792946e-05
P( harbor | Deceptive Positive) = 2.87471971483e-05
P( harbor | Truthful Negative) = 1.93150870145e-05
P( harbor | Truthful Positive) = 5.26579079013e-05
P( experiencing | Deceptive Negative) = 5.84624378837e-05
P( experiencing | Deceptive Positive) = 2.87471971483e-05
P( experiencing | Truthful Negative) = 1.93150870145e-05
P( experiencing | Truthful Positive) = 2.63289539507e-05
P( eve | Deceptive Negative) = 1.94874792946e-05
P( eve | Deceptive Positive) = 2.87471971483e-05
P( eve | Truthful Negative) = 1.93150870145e-05
P( eve | Truthful Positive) = 5.26579079013e-05
P( fewer | Deceptive Negative) = 3.89749585891e-05
P( fewer | Deceptive Positive) = 2.87471971483e-05
P( fewer | Truthful Negative) = 1.93150870145e-05
P( fewer | Truthful Positive) = 5.26579079013e-05
P( anxious | Deceptive Negative) = 1.94874792946e-05
P( anxious | Deceptive Positive) = 5.74943942966e-05
P( anxious | Truthful Negative) = 1.93150870145e-05
P( anxious | Truthful Positive) = 5.26579079013e-05
P( evr | Deceptive Negative) = 1.94874792946e-05
P( evr | Deceptive Positive) = 5.74943942966e-05
P( evr | Truthful Negative) = 1.93150870145e-05
P( evr | Truthful Positive) = 2.63289539507e-05
P( video | Deceptive Negative) = 7.79499171782e-05
P( video | Deceptive Positive) = 5.74943942966e-05
P( video | Truthful Negative) = 3.86301740289e-05
P( video | Truthful Positive) = 5.26579079013e-05
P( enclosed | Deceptive Negative) = 1.94874792946e-05
P( enclosed | Deceptive Positive) = 2.87471971483e-05
P( enclosed | Truthful Negative) = 1.93150870145e-05
P( enclosed | Truthful Positive) = 5.26579079013e-05
P( incidentally | Deceptive Negative) = 1.94874792946e-05
P( incidentally | Deceptive Positive) = 2.87471971483e-05
P( incidentally | Truthful Negative) = 3.86301740289e-05
P( incidentally | Truthful Positive) = 2.63289539507e-05
P( odd | Deceptive Negative) = 5.84624378837e-05
P( odd | Deceptive Positive) = 2.87471971483e-05
P( odd | Truthful Negative) = 3.86301740289e-05
P( odd | Truthful Positive) = 5.26579079013e-05
P( leakage | Deceptive Negative) = 1.94874792946e-05
P( leakage | Deceptive Positive) = 2.87471971483e-05
P( leakage | Truthful Negative) = 3.86301740289e-05
P( leakage | Truthful Positive) = 2.63289539507e-05
P( victor | Deceptive Negative) = 1.94874792946e-05
P( victor | Deceptive Positive) = 2.87471971483e-05
P( victor | Truthful Negative) = 1.93150870145e-05
P( victor | Truthful Positive) = 5.26579079013e-05
P( expressed | Deceptive Negative) = 1.94874792946e-05
P( expressed | Deceptive Positive) = 2.87471971483e-05
P( expressed | Truthful Negative) = 5.79452610434e-05
P( expressed | Truthful Positive) = 2.63289539507e-05
P( sweaty | Deceptive Negative) = 1.94874792946e-05
P( sweaty | Deceptive Positive) = 2.87471971483e-05
P( sweaty | Truthful Negative) = 3.86301740289e-05
P( sweaty | Truthful Positive) = 2.63289539507e-05
P( consistently | Deceptive Negative) = 1.94874792946e-05
P( consistently | Deceptive Positive) = 2.87471971483e-05
P( consistently | Truthful Negative) = 1.93150870145e-05
P( consistently | Truthful Positive) = 7.8986861852e-05
P( twins | Deceptive Negative) = 1.94874792946e-05
P( twins | Deceptive Positive) = 2.87471971483e-05
P( twins | Truthful Negative) = 1.93150870145e-05
P( twins | Truthful Positive) = 5.26579079013e-05
P( equivalent | Deceptive Negative) = 1.94874792946e-05
P( equivalent | Deceptive Positive) = 2.87471971483e-05
P( equivalent | Truthful Negative) = 3.86301740289e-05
P( equivalent | Truthful Positive) = 2.63289539507e-05
P( scenery | Deceptive Negative) = 1.94874792946e-05
P( scenery | Deceptive Positive) = 5.74943942966e-05
P( scenery | Truthful Negative) = 1.93150870145e-05
P( scenery | Truthful Positive) = 2.63289539507e-05
P( led | Deceptive Negative) = 3.89749585891e-05
P( led | Deceptive Positive) = 2.87471971483e-05
P( led | Truthful Negative) = 5.79452610434e-05
P( led | Truthful Positive) = 7.8986861852e-05
P( leg | Deceptive Negative) = 0.000116924875767
P( leg | Deceptive Positive) = 5.74943942966e-05
P( leg | Truthful Negative) = 5.79452610434e-05
P( leg | Truthful Positive) = 2.63289539507e-05
P( jammies | Deceptive Negative) = 3.89749585891e-05
P( jammies | Deceptive Positive) = 2.87471971483e-05
P( jammies | Truthful Negative) = 1.93150870145e-05
P( jammies | Truthful Positive) = 2.63289539507e-05
P( punch | Deceptive Negative) = 1.94874792946e-05
P( punch | Deceptive Positive) = 2.87471971483e-05
P( punch | Truthful Negative) = 1.93150870145e-05
P( punch | Truthful Positive) = 5.26579079013e-05
P( delivering | Deceptive Negative) = 3.89749585891e-05
P( delivering | Deceptive Positive) = 2.87471971483e-05
P( delivering | Truthful Negative) = 1.93150870145e-05
P( delivering | Truthful Positive) = 2.63289539507e-05
P( les | Deceptive Negative) = 1.94874792946e-05
P( les | Deceptive Positive) = 2.87471971483e-05
P( les | Truthful Negative) = 1.93150870145e-05
P( les | Truthful Positive) = 5.26579079013e-05
P( let | Deceptive Negative) = 0.000272824710124
P( let | Deceptive Positive) = 0.00017248318289
P( let | Truthful Negative) = 0.000424931914318
P( let | Truthful Positive) = 0.000184302677655
P( layout | Deceptive Negative) = 3.89749585891e-05
P( layout | Deceptive Positive) = 8.62415914448e-05
P( layout | Truthful Negative) = 3.86301740289e-05
P( layout | Truthful Positive) = 5.26579079013e-05
P( fifteen | Deceptive Negative) = 3.89749585891e-05
P( fifteen | Deceptive Positive) = 2.87471971483e-05
P( fifteen | Truthful Negative) = 3.86301740289e-05
P( fifteen | Truthful Positive) = 5.26579079013e-05
P( vinegar | Deceptive Negative) = 1.94874792946e-05
P( vinegar | Deceptive Positive) = 2.87471971483e-05
P( vinegar | Truthful Negative) = 3.86301740289e-05
P( vinegar | Truthful Positive) = 2.63289539507e-05
P( great | Deceptive Negative) = 0.000701549254604
P( great | Deceptive Positive) = 0.00425458517795
P( great | Truthful Negative) = 0.00175767291832
P( great | Truthful Positive) = 0.00650325162581
P( receive | Deceptive Negative) = 7.79499171782e-05
P( receive | Deceptive Positive) = 2.87471971483e-05
P( receive | Truthful Negative) = 0.000115890522087
P( receive | Truthful Positive) = 2.63289539507e-05
P( involved | Deceptive Negative) = 7.79499171782e-05
P( involved | Deceptive Positive) = 2.87471971483e-05
P( involved | Truthful Negative) = 1.93150870145e-05
P( involved | Truthful Positive) = 5.26579079013e-05
P( resulting | Deceptive Negative) = 3.89749585891e-05
P( resulting | Deceptive Positive) = 2.87471971483e-05
P( resulting | Truthful Negative) = 3.86301740289e-05
P( resulting | Truthful Positive) = 2.63289539507e-05
P( cta | Deceptive Negative) = 1.94874792946e-05
P( cta | Deceptive Positive) = 2.87471971483e-05
P( cta | Truthful Negative) = 1.93150870145e-05
P( cta | Truthful Positive) = 7.8986861852e-05
P( less-than-maintained | Deceptive Negative) = 1.94874792946e-05
P( less-than-maintained | Deceptive Positive) = 2.87471971483e-05
P( less-than-maintained | Truthful Negative) = 3.86301740289e-05
P( less-than-maintained | Truthful Positive) = 2.63289539507e-05
P( defeat | Deceptive Negative) = 3.89749585891e-05
P( defeat | Deceptive Positive) = 2.87471971483e-05
P( defeat | Truthful Negative) = 1.93150870145e-05
P( defeat | Truthful Positive) = 2.63289539507e-05
P( opinion | Deceptive Negative) = 5.84624378837e-05
P( opinion | Deceptive Positive) = 0.000143735985741
P( opinion | Truthful Negative) = 0.000135205609101
P( opinion | Truthful Positive) = 7.8986861852e-05
P( stephanie | Deceptive Negative) = 1.94874792946e-05
P( stephanie | Deceptive Positive) = 2.87471971483e-05
P( stephanie | Truthful Negative) = 1.93150870145e-05
P( stephanie | Truthful Positive) = 0.000105315815803
P( explain | Deceptive Negative) = 5.84624378837e-05
P( explain | Deceptive Positive) = 2.87471971483e-05
P( explain | Truthful Negative) = 9.65754350723e-05
P( explain | Truthful Positive) = 2.63289539507e-05
P( involves | Deceptive Negative) = 1.94874792946e-05
P( involves | Deceptive Positive) = 5.74943942966e-05
P( involves | Truthful Negative) = 1.93150870145e-05
P( involves | Truthful Positive) = 2.63289539507e-05
P( thats | Deceptive Negative) = 1.94874792946e-05
P( thats | Deceptive Positive) = 2.87471971483e-05
